applicant_id,PD,LGD,EAD,expected_loss,expected_loss_rate,risk_grade,decision,credit_grade,loan_purpose,debt_to_income,annual_income,application_vintage,base_loss,moderate_stress_loss,severe_stress_loss,income_band,debt_to_income_band
APP-00001,0.14697357203751066,0.55,0.0,0.0,0.0,D,Decline,E,home_improvement,0.3508,24929.06,2022Q1,0.0,0.0,0.0,<$50k,35%-50%
APP-00002,0.06364023870417732,0.55,16241.45,568.49,0.03500241665614831,C,Review,D,home_improvement,0.2126,53965.07,2022Q1,568.49,781.67,1136.97,$50k-$85k,20%-35%
APP-00003,0.06364023870417732,0.55,8975.64,314.17,0.0350025179262983,C,Review,C,major_purchase,0.4518,31783.26,2022Q1,314.17,431.98,628.33,<$50k,35%-50%
APP-00004,0.06364023870417732,0.55,16239.95,568.43,0.03500195505528034,C,Review,C,debt_consolidation,0.4938,36771.18,2022Q1,568.43,781.6,1136.87,<$50k,35%-50%
APP-00005,0.013871429190688804,0.35,18995.21,92.22,0.004854908158425203,A,Approve,B,debt_consolidation,0.1373,68486.5,2022Q1,92.22,126.8,184.44,$50k-$85k,<20%
APP-00006,0.01411059176294206,0.35,21819.92,107.76,0.004938606557677572,A,Approve,A,small_business,0.1907,68554.34,2022Q1,107.76,148.17,215.52,$50k-$85k,<20%
APP-00007,0.01411059176294206,0.35,16970.93,83.81,0.004938444740506266,A,Approve,D,small_business,0.2051,32469.2,2022Q1,83.81,115.24,167.63,<$50k,20%-35%
APP-00008,0.06364023870417732,0.55,14255.38,498.97,0.03500222372185098,C,Review,C,debt_consolidation,0.2728,106480.68,2022Q1,498.97,686.08,997.94,$85k-$130k,20%-35%
APP-00009,0.013871429190688804,0.35,7742.13,37.59,0.00485525301176808,A,Approve,A,home_improvement,0.2604,45321.71,2022Q1,37.59,51.68,75.18,<$50k,20%-35%
APP-00010,0.14697357203751066,0.55,0.0,0.0,0.0,D,Decline,E,debt_consolidation,0.1411,75532.77,2022Q1,0.0,0.0,0.0,$50k-$85k,<20%
APP-00011,0.06364023870417732,0.55,7046.08,246.63,0.03500244107361824,C,Review,A,debt_consolidation,0.4089,55288.49,2022Q1,246.63,339.11,493.26,$50k-$85k,35%-50%
APP-00012,0.013871429190688804,0.35,25654.21,124.55,0.004854953631392275,A,Approve,B,major_purchase,0.1243,70707.83,2022Q1,124.55,171.26,249.1,$50k-$85k,<20%
APP-00013,0.14697357203751066,0.55,0.0,0.0,0.0,D,Decline,C,medical,0.5236,49592.47,2022Q1,0.0,0.0,0.0,<$50k,50%+
APP-00014,0.013871429190688804,0.35,13764.06,66.82,0.004854672240603426,A,Approve,B,small_business,0.1752,53812.05,2022Q1,66.82,91.88,133.65,$50k-$85k,<20%
APP-00015,0.01411059176294206,0.35,7749.51,38.27,0.004938376748981549,A,Approve,B,major_purchase,0.4861,57291.9,2022Q1,38.27,52.62,76.55,$50k-$85k,35%-50%
APP-00016,0.01411059176294206,0.35,11941.58,58.98,0.0049390449170042825,A,Approve,C,home_improvement,0.0922,63194.0,2022Q1,58.98,81.09,117.95,$50k-$85k,<20%
APP-00017,0.01411059176294206,0.35,9187.4,45.37,0.0049382850425582865,A,Approve,A,other,0.3673,71280.68,2022Q1,45.37,62.39,90.75,$50k-$85k,35%-50%
APP-00018,0.013871429190688804,0.35,34199.04,166.04,0.004855107043940415,A,Approve,B,debt_consolidation,0.1662,57366.32,2022Q1,166.04,228.3,332.07,$50k-$85k,<20%
APP-00019,0.013871429190688804,0.35,17568.98,85.3,0.004855148107630608,A,Approve,B,debt_consolidation,0.2363,43122.8,2022Q1,85.3,117.28,170.59,<$50k,20%-35%
APP-00020,0.01411059176294206,0.35,8908.63,44.0,0.004939031029462443,A,Approve,B,home_improvement,0.2155,79427.87,2022Q1,44.0,60.5,87.99,$50k-$85k,20%-35%
APP-00021,0.06364023870417732,0.55,11491.06,402.21,0.035001992853574866,C,Review,C,home_improvement,0.2499,58560.48,2022Q1,402.21,553.04,804.42,$50k-$85k,20%-35%
APP-00022,0.013871429190688804,0.35,17719.59,86.03,0.004855078475292035,A,Approve,B,debt_consolidation,0.1712,103034.62,2022Q1,86.03,118.29,172.06,$85k-$130k,<20%
APP-00023,0.14697357203751066,0.55,0.0,0.0,0.0,D,Decline,D,debt_consolidation,0.346,171161.38,2022Q1,0.0,0.0,0.0,$130k+,20%-35%
APP-00024,0.06364023870417732,0.55,27278.62,954.81,0.03500213720488793,C,Review,D,debt_consolidation,0.2352,38346.04,2022Q1,954.81,1312.86,1909.62,<$50k,20%-35%
APP-00025,0.06364023870417732,0.55,10624.3,371.87,0.03500183541503911,C,Review,D,major_purchase,0.4138,81540.56,2022Q1,371.87,511.33,743.75,$50k-$85k,35%-50%
APP-00026,0.01411059176294206,0.35,10677.88,52.73,0.0049382461687151385,A,Approve,B,small_business,0.414,201535.69,2022Q1,52.73,72.51,105.47,$130k+,35%-50%
APP-00027,0.06364023870417732,0.55,9642.39,337.5,0.03500169563769978,C,Review,C,major_purchase,0.2396,113171.43,2022Q1,337.5,464.07,675.01,$85k-$130k,20%-35%
APP-00028,0.06364023870417732,0.55,29615.85,1036.62,0.03500220321213134,C,Review,A,debt_consolidation,0.1237,32071.91,2022Q1,1036.62,1425.35,2073.24,<$50k,<20%
APP-00029,0.013871429190688804,0.35,17666.19,85.77,0.004855036654762572,A,Approve,A,major_purchase,0.0544,37013.9,2022Q1,85.77,117.93,171.54,<$50k,<20%
APP-00030,0.06364023870417732,0.55,9291.4,325.22,0.035002260154551525,C,Review,C,debt_consolidation,0.5345,47744.67,2022Q1,325.22,447.18,650.44,<$50k,50%+
APP-00031,0.14697357203751066,0.55,0.0,0.0,0.0,D,Decline,D,medical,0.2111,27872.78,2022Q1,0.0,0.0,0.0,<$50k,20%-35%
APP-00032,0.01411059176294206,0.35,15087.19,74.51,0.00493862674228932,A,Approve,B,debt_consolidation,0.287,38307.15,2022Q1,74.51,102.45,149.02,<$50k,20%-35%
APP-00033,0.013871429190688804,0.35,16194.59,78.62,0.0048547076523703285,A,Approve,B,debt_consolidation,0.1906,30117.69,2022Q1,78.62,108.11,157.25,<$50k,<20%
APP-00034,0.013871429190688804,0.35,6686.67,32.46,0.004854434269972946,A,Approve,B,major_purchase,0.4247,193874.42,2022Q1,32.46,44.64,64.93,$130k+,35%-50%
APP-00035,0.013871429190688804,0.35,14768.39,71.7,0.004854963878933317,A,Approve,B,debt_consolidation,0.0854,47395.23,2022Q1,71.7,98.59,143.4,<$50k,<20%
APP-00036,0.06364023870417732,0.55,22551.94,789.37,0.03500231022253518,C,Review,B,debt_consolidation,0.5196,53252.58,2022Q1,789.37,1085.38,1578.73,$50k-$85k,50%+
APP-00037,0.01411059176294206,0.35,22857.81,112.89,0.0049387933489691265,A,Approve,C,major_purchase,0.4574,124229.64,2022Q1,112.89,155.22,225.78,$85k-$130k,35%-50%
APP-00038,0.06364023870417732,0.55,8956.39,313.49,0.03500182551228788,C,Review,B,debt_consolidation,0.0612,79013.8,2022Q1,313.49,431.05,626.99,$50k-$85k,<20%
APP-00039,0.06364023870417732,0.55,15093.39,528.3,0.03500207706817355,C,Review,D,debt_consolidation,0.2597,60898.75,2022Q1,528.3,726.41,1056.6,$50k-$85k,20%-35%
APP-00040,0.01411059176294206,0.35,17171.95,84.81,0.004938868328873541,A,Approve,B,medical,0.0989,24217.62,2022Q1,84.81,116.61,169.61,<$50k,<20%
APP-00041,0.06364023870417732,0.55,28699.53,1004.54,0.03500196693116577,C,Review,A,debt_consolidation,0.2426,62416.89,2022Q1,1004.54,1381.25,2009.09,$50k-$85k,20%-35%
APP-00042,0.06364023870417732,0.55,10640.25,372.43,0.035001997133525996,C,Review,D,debt_consolidation,0.3965,60510.49,2022Q1,372.43,512.09,744.86,$50k-$85k,35%-50%
APP-00043,0.14697357203751066,0.55,0.0,0.0,0.0,D,Decline,D,other,0.3159,51903.96,2022Q1,0.0,0.0,0.0,$50k-$85k,20%-35%
APP-00044,0.06364023870417732,0.55,15158.54,530.58,0.03500205164877356,C,Review,B,medical,0.2547,49434.78,2022Q1,530.58,729.55,1061.16,<$50k,20%-35%
APP-00045,0.06364023870417732,0.55,26456.31,926.03,0.03500223576152532,C,Review,C,debt_consolidation,0.3818,72569.49,2022Q1,926.03,1273.29,1852.05,$50k-$85k,35%-50%
APP-00046,0.06364023870417732,0.55,20440.31,715.45,0.03500191533298663,C,Review,D,debt_consolidation,0.2551,67876.25,2022Q1,715.45,983.75,1430.91,$50k-$85k,20%-35%
APP-00047,0.06364023870417732,0.55,14897.21,521.43,0.035001856052240654,C,Review,D,medical,0.5518,60975.31,2022Q1,521.43,716.97,1042.87,$50k-$85k,50%+
APP-00048,0.01411059176294206,0.35,10356.21,51.15,0.0049390655461795385,A,Approve,B,other,0.58,55098.09,2022Q1,51.15,70.33,102.29,$50k-$85k,50%+
APP-00049,0.013871429190688804,0.35,7261.06,35.25,0.004854663093267374,A,Approve,B,home_improvement,0.4346,65759.18,2022Q1,35.25,48.47,70.5,$50k-$85k,35%-50%
APP-00050,0.06364023870417732,0.55,33509.67,1172.91,0.03500213520455439,C,Review,C,debt_consolidation,0.58,32931.6,2022Q1,1172.91,1612.75,2345.82,<$50k,50%+
APP-00051,0.013871429190688804,0.35,17204.78,83.53,0.004855046097654257,A,Approve,C,debt_consolidation,0.0739,78291.91,2022Q1,83.53,114.85,167.06,$50k-$85k,<20%
APP-00052,0.06364023870417732,0.55,5030.04,176.06,0.03500170972795445,C,Review,C,debt_consolidation,0.2396,109718.93,2022Q1,176.06,242.09,352.12,$85k-$130k,20%-35%
APP-00053,0.14697357203751066,0.55,0.0,0.0,0.0,D,Decline,E,medical,0.1641,40939.8,2022Q1,0.0,0.0,0.0,<$50k,<20%
APP-00054,0.013871429190688804,0.35,16941.72,82.25,0.0048548789615222064,A,Approve,A,other,0.3655,41690.08,2022Q1,82.25,113.1,164.5,<$50k,35%-50%
APP-00055,0.06364023870417732,0.55,18843.03,659.55,0.03500233242742807,C,Review,C,medical,0.476,41377.91,2022Q1,659.55,906.88,1319.09,<$50k,35%-50%
APP-00056,0.14697357203751066,0.55,0.0,0.0,0.0,D,Decline,D,other,0.4354,31435.7,2022Q1,0.0,0.0,0.0,<$50k,35%-50%
APP-00057,0.06364023870417732,0.55,11362.54,397.71,0.03500185697916135,C,Review,D,debt_consolidation,0.247,41873.76,2022Q1,397.71,546.86,795.43,<$50k,20%-35%
APP-00058,0.013871429190688804,0.35,20088.07,97.53,0.00485512047697962,A,Approve,B,medical,0.2359,30616.9,2022Q1,97.53,134.1,195.06,<$50k,20%-35%
APP-00059,0.01411059176294206,0.35,10431.41,51.52,0.004938929636549613,A,Approve,C,major_purchase,0.2247,87684.4,2022Q1,51.52,70.84,103.04,$85k-$130k,20%-35%
APP-00060,0.06364023870417732,0.55,42000.0,1470.09,0.03500214285714286,C,Review,C,debt_consolidation,0.3844,152250.4,2022Q1,1470.09,2021.37,2940.18,$130k+,35%-50%
APP-00061,0.013871429190688804,0.35,15088.45,73.25,0.004854706745888411,A,Approve,B,other,0.2207,43890.96,2022Q1,73.25,100.72,146.51,<$50k,20%-35%
APP-00062,0.06364023870417732,0.55,42000.0,1470.09,0.03500214285714286,C,Review,B,debt_consolidation,0.3612,26168.66,2022Q1,1470.09,2021.37,2940.18,<$50k,35%-50%
APP-00063,0.01411059176294206,0.35,9303.11,45.95,0.0049392085012431326,A,Approve,A,medical,0.3489,42885.52,2022Q1,45.95,63.17,91.89,<$50k,20%-35%
APP-00064,0.013871429190688804,0.35,31915.16,154.95,0.004855059476436903,A,Approve,A,home_improvement,0.1531,92960.59,2022Q1,154.95,213.05,309.9,$85k-$130k,<20%
APP-00065,0.01411059176294206,0.35,13282.7,65.6,0.004938754921815594,A,Approve,B,debt_consolidation,0.3498,85470.8,2022Q1,65.6,90.2,131.2,$85k-$130k,20%-35%
APP-00066,0.013871429190688804,0.35,29651.35,143.96,0.004855090914916185,A,Approve,B,major_purchase,0.4077,35264.33,2022Q1,143.96,197.94,287.91,<$50k,35%-50%
APP-00067,0.01411059176294206,0.35,12211.91,60.31,0.004938621395015195,A,Approve,B,debt_consolidation,0.3145,87002.81,2022Q1,60.31,82.93,120.62,$85k-$130k,20%-35%
APP-00068,0.01411059176294206,0.35,24237.29,119.7,0.004938670948773563,A,Approve,B,home_improvement,0.4848,59161.16,2022Q1,119.7,164.59,239.4,$50k-$85k,35%-50%
APP-00069,0.013871429190688804,0.35,18177.16,88.25,0.004854993849424223,A,Approve,A,home_improvement,0.0364,73254.18,2022Q1,88.25,121.34,176.5,$50k-$85k,<20%
APP-00070,0.013871429190688804,0.35,10817.07,52.52,0.004855288909103852,A,Approve,A,small_business,0.0789,64453.16,2022Q1,52.52,72.21,105.03,$50k-$85k,<20%
APP-00071,0.06364023870417732,0.55,17308.63,605.84,0.03500219254787929,C,Review,C,medical,0.4456,109918.21,2022Q1,605.84,833.03,1211.68,$85k-$130k,35%-50%
APP-00072,0.013871429190688804,0.35,6942.15,33.7,0.004854403895046924,A,Approve,B,debt_consolidation,0.196,39717.84,2022Q1,33.7,46.34,67.41,<$50k,<20%
APP-00073,0.06364023870417732,0.55,38695.63,1354.43,0.035002143652913785,C,Review,A,debt_consolidation,0.2165,55367.46,2022Q1,1354.43,1862.34,2708.86,$50k-$85k,20%-35%
APP-00074,0.013871429190688804,0.35,21511.56,104.44,0.004855063974904656,A,Approve,B,debt_consolidation,0.1819,26092.28,2022Q1,104.44,143.6,208.88,<$50k,<20%
APP-00075,0.013871429190688804,0.35,24651.37,119.68,0.004854902587564099,A,Approve,A,major_purchase,0.1205,82211.31,2022Q1,119.68,164.56,239.36,$50k-$85k,<20%
APP-00076,0.06364023870417732,0.55,35979.98,1259.38,0.03500224291397605,C,Review,C,debt_consolidation,0.1409,86270.94,2022Q1,1259.38,1731.64,2518.75,$85k-$130k,<20%
APP-00077,0.14697357203751066,0.55,0.0,0.0,0.0,D,Decline,D,debt_consolidation,0.58,61841.58,2022Q1,0.0,0.0,0.0,$50k-$85k,50%+
APP-00078,0.06364023870417732,0.55,7425.18,259.9,0.035002518457465,C,Review,D,major_purchase,0.3112,57484.38,2022Q1,259.9,357.36,519.79,$50k-$85k,20%-35%
APP-00079,0.01411059176294206,0.35,32736.78,161.68,0.004938787504452179,A,Approve,D,debt_consolidation,0.143,48831.25,2022Q1,161.68,222.31,323.35,<$50k,<20%
APP-00080,0.06364023870417732,0.55,11080.77,387.85,0.03500208018034848,C,Review,C,debt_consolidation,0.3184,56267.85,2022Q1,387.85,533.29,775.7,$50k-$85k,20%-35%
APP-00081,0.06364023870417732,0.55,42000.0,1470.09,0.03500214285714286,C,Review,C,small_business,0.246,74409.64,2022Q1,1470.09,2021.37,2940.18,$50k-$85k,20%-35%
APP-00082,0.01411059176294206,0.35,5025.98,24.82,0.00493834038336802,A,Approve,C,debt_consolidation,0.2285,119789.38,2022Q1,24.82,34.13,49.64,$85k-$130k,20%-35%
APP-00083,0.01411059176294206,0.35,39382.18,194.5,0.004938781956712402,A,Approve,C,debt_consolidation,0.5183,65630.92,2022Q1,194.5,267.43,388.99,$50k-$85k,50%+
APP-00084,0.01411059176294206,0.35,20567.25,101.58,0.00493891988476826,A,Approve,B,small_business,0.2687,35243.98,2022Q1,101.58,139.67,203.15,<$50k,20%-35%
APP-00085,0.06364023870417732,0.55,10170.75,356.0,0.035002335127694614,C,Review,C,major_purchase,0.4758,32159.03,2022Q1,356.0,489.5,712.0,<$50k,35%-50%
APP-00086,0.06364023870417732,0.55,19079.67,667.83,0.03500217771062079,C,Review,D,other,0.4277,67925.89,2022Q1,667.83,918.27,1335.66,$50k-$85k,35%-50%
APP-00087,0.01411059176294206,0.35,14313.3,70.69,0.004938763248167788,A,Approve,A,home_improvement,0.0847,88145.63,2022Q1,70.69,97.2,141.38,$85k-$130k,<20%
APP-00088,0.14697357203751066,0.55,0.0,0.0,0.0,D,Decline,D,medical,0.3263,33546.01,2022Q1,0.0,0.0,0.0,<$50k,20%-35%
APP-00089,0.06364023870417732,0.55,13099.87,458.52,0.035001874064399106,C,Review,D,debt_consolidation,0.0948,57182.52,2022Q1,458.52,630.47,917.05,$50k-$85k,<20%
APP-00090,0.14697357203751066,0.55,0.0,0.0,0.0,D,Decline,C,debt_consolidation,0.58,31691.17,2022Q1,0.0,0.0,0.0,<$50k,50%+
APP-00091,0.013871429190688804,0.35,9345.9,45.37,0.004854535143752875,A,Approve,A,major_purchase,0.03,66647.61,2022Q1,45.37,62.39,90.75,$50k-$85k,<20%
APP-00092,0.06364023870417732,0.55,16775.2,587.17,0.03500226524870046,C,Review,B,debt_consolidation,0.5351,90392.92,2022Q1,587.17,807.36,1174.34,$85k-$130k,50%+
APP-00093,0.013871429190688804,0.35,16643.44,80.8,0.0048547656013420305,A,Approve,C,major_purchase,0.2058,83184.11,2022Q1,80.8,111.11,161.61,$50k-$85k,20%-35%
APP-00094,0.06364023870417732,0.55,42000.0,1470.09,0.03500214285714286,C,Review,A,other,0.0526,84904.21,2022Q1,1470.09,2021.37,2940.18,$50k-$85k,<20%
APP-00095,0.01411059176294206,0.35,11568.36,57.13,0.004938470102935939,A,Approve,B,debt_consolidation,0.1964,61439.21,2022Q1,57.13,78.56,114.27,$50k-$85k,<20%
APP-00096,0.06364023870417732,0.55,42000.0,1470.09,0.03500214285714286,C,Review,C,debt_consolidation,0.2711,55031.09,2022Q1,1470.09,2021.37,2940.18,$50k-$85k,20%-35%
APP-00097,0.013871429190688804,0.35,25693.1,124.74,0.0048549999805395224,A,Approve,B,home_improvement,0.2736,43203.74,2022Q1,124.74,171.52,249.48,<$50k,20%-35%
APP-00098,0.06364023870417732,0.55,12427.35,434.98,0.03500183063967781,C,Review,D,home_improvement,0.58,55905.28,2022Q1,434.98,598.1,869.97,$50k-$85k,50%+
APP-00099,0.013871429190688804,0.35,14635.39,71.05,0.0048546707672292985,A,Approve,A,home_improvement,0.3081,58562.56,2022Q1,71.05,97.7,142.11,$50k-$85k,20%-35%
