wallet_id,counterparty_wallet_id,transaction_time,amount_usd,stablecoin_risk_score,stablecoin_risk_action,risk_exposure_score,top_reason_1,top_reason_2,top_reason_3
W0000,W0150,2025-12-24 17:54:13,19.924965,0.241609,normal,4.814044,new_counterparty,,
W0000,W0670,2026-01-07 05:34:49,174.646955,0.270896,normal,47.311145,high_wallet_velocity,new_counterparty,imbalanced_flow
W0000,W0718,2026-02-11 20:24:12,11025.497523,0.57931,monitor,6387.185667,risky_address_exposure,high_wallet_velocity,new_counterparty
W0000,W0492,2026-03-04 06:25:34,495.588204,0.223566,normal,110.796512,high_wallet_velocity,new_counterparty,
W0001,W0010,2026-01-18 08:37:13,898.258976,0.282902,normal,254.119204,new_counterparty,imbalanced_flow,
W0001,W0433,2026-02-08 02:02:32,53.570778,0.324351,normal,17.375741,high_wallet_velocity,new_counterparty,imbalanced_flow
W0001,W0456,2026-03-02 19:24:37,870.393557,0.357865,normal,311.483113,high_wallet_velocity,new_counterparty,imbalanced_flow
W0002,W0509,2025-12-26 23:04:03,976.092173,0.507788,monitor,495.647945,high_wallet_velocity,new_counterparty,
W0002,W0570,2025-12-27 18:19:27,612.183775,0.171164,normal,104.783569,new_counterparty,,
W0002,W0735,2026-01-02 04:20:50,26.404944,0.202083,normal,5.335993,new_counterparty,imbalanced_flow,
W0002,W0666,2026-01-13 10:16:57,774.366044,0.232259,normal,179.853868,high_wallet_velocity,new_counterparty,
W0002,W0441,2026-01-25 12:44:40,189.367468,0.462929,monitor,87.663731,high_counterparty_risk,new_counterparty,
W0002,W0365,2026-02-21 23:57:52,3302.576753,0.428996,monitor,1416.793298,risky_address_exposure,new_counterparty,
W0002,W0532,2026-02-26 08:33:59,3.505585,0.332384,normal,1.165199,high_wallet_velocity,new_counterparty,imbalanced_flow
W0003,W0782,2025-12-22 01:02:45,58.275074,0.307687,normal,17.930461,high_wallet_velocity,new_counterparty,
W0003,W0629,2026-01-05 21:31:42,815.044298,0.250204,normal,203.927349,high_wallet_velocity,new_counterparty,
W0003,W0402,2026-01-14 11:17:03,126.296447,0.542567,monitor,68.524245,high_counterparty_risk,high_wallet_velocity,new_counterparty
W0003,W0067,2026-02-25 04:16:14,262.754971,0.241449,normal,63.441988,new_counterparty,imbalanced_flow,
W0004,W0345,2026-01-23 13:02:17,38.114586,0.258259,normal,9.843429,high_wallet_velocity,new_counterparty,
W0004,W0470,2026-01-29 10:45:23,1206.646732,0.593014,monitor,715.558479,risky_address_exposure,high_wallet_velocity,new_counterparty
W0004,W0003,2026-03-03 15:00:32,2607.639988,0.263846,normal,688.015005,new_counterparty,imbalanced_flow,
W0005,W0153,2026-02-09 11:24:35,298.553817,0.337611,normal,100.795028,high_wallet_velocity,new_counterparty,
W0005,W0457,2026-02-12 18:00:44,42.656309,0.345012,normal,14.71695,high_wallet_velocity,new_counterparty,imbalanced_flow
W0005,W0025,2026-03-11 19:33:52,2545.742732,0.436779,monitor,1111.926196,new_counterparty,imbalanced_flow,
W0005,W0746,2026-03-15 08:17:54,3717.787232,0.310477,normal,1154.287635,high_wallet_velocity,new_counterparty,imbalanced_flow
W0006,W0180,2025-12-22 17:32:52,39553.308534,0.469456,monitor,18568.525478,large_transfer,new_counterparty,imbalanced_flow
W0006,W0228,2025-12-28 00:22:51,14.27782,0.338511,normal,4.833195,high_wallet_velocity,new_counterparty,imbalanced_flow
W0006,W0237,2026-01-20 23:01:19,609.868145,0.232728,normal,141.933502,new_counterparty,,
W0007,W0106,2026-02-10 23:26:16,757.744817,0.295857,normal,224.184141,high_wallet_velocity,new_counterparty,
W0007,W0270,2026-03-18 02:37:35,375.702269,0.297276,normal,111.68721,high_wallet_velocity,new_counterparty,
W0008,W0042,2026-01-31 20:02:02,744.425892,0.205522,normal,152.995713,high_wallet_velocity,new_counterparty,
W0008,W0798,2026-02-01 01:25:23,2376.71231,0.259095,normal,615.794578,high_wallet_velocity,new_counterparty,imbalanced_flow
W0008,W0482,2026-03-14 11:38:08,7226.0668,0.246876,normal,1783.945938,high_wallet_velocity,new_counterparty,
W0009,W0148,2026-01-03 01:45:40,423.204341,0.45889,monitor,194.204271,high_wallet_velocity,new_counterparty,
W0009,W0611,2026-01-13 23:39:40,364.710577,0.319746,normal,116.614884,high_wallet_velocity,new_counterparty,imbalanced_flow
W0009,W0037,2026-02-20 22:40:28,228.953514,0.681569,review,156.047635,high_counterparty_risk,risky_address_exposure,new_counterparty
W0009,W0666,2026-03-20 12:32:02,3951.198569,0.59848,monitor,2364.713362,high_counterparty_risk,high_wallet_velocity,new_counterparty
W0010,W0283,2026-01-13 11:29:31,320.63352,0.530065,monitor,169.956602,risky_address_exposure,high_wallet_velocity,new_counterparty
W0010,W0331,2026-02-01 14:34:16,2039.656152,0.481566,monitor,982.229266,risky_address_exposure,high_wallet_velocity,new_counterparty
W0011,W0355,2025-12-26 16:16:04,79.809413,0.32587,normal,26.007493,high_wallet_velocity,new_counterparty,
W0011,W0285,2026-02-03 19:43:37,7.963812,0.305297,normal,2.431327,high_wallet_velocity,new_counterparty,
W0012,W0571,2026-01-01 18:10:07,4575.582894,0.728509,review,3333.353505,high_counterparty_risk,risky_address_exposure,high_wallet_velocity
W0012,W0125,2026-01-07 10:01:12,237.089582,0.286029,normal,67.814603,high_wallet_velocity,new_counterparty,
W0012,W0388,2026-02-07 05:16:41,10671.134526,0.414484,monitor,4423.013813,high_wallet_velocity,new_counterparty,
W0012,W0262,2026-03-05 11:55:31,47.704003,0.362121,normal,17.274628,high_wallet_velocity,new_counterparty,imbalanced_flow
W0013,W0322,2026-01-27 19:33:50,2723.450046,0.312584,normal,851.305857,new_counterparty,,
W0013,W0746,2026-02-02 00:46:30,571.216621,0.19131,normal,109.279494,new_counterparty,imbalanced_flow,
W0013,W0334,2026-03-12 19:42:57,37.454849,0.323215,normal,12.105954,high_wallet_velocity,new_counterparty,imbalanced_flow
W0013,W0401,2026-03-18 16:36:24,2921.567167,0.397064,normal,1160.047887,high_wallet_velocity,new_counterparty,imbalanced_flow
W0014,W0305,2026-02-13 19:04:57,185.209941,0.290438,normal,53.792059,new_counterparty,,
W0014,W0109,2026-02-18 04:02:53,3721.186115,0.284672,normal,1059.315811,high_wallet_velocity,new_counterparty,imbalanced_flow
W0014,W0740,2026-03-15 16:29:51,160.429606,0.307572,normal,49.343685,high_wallet_velocity,new_counterparty,imbalanced_flow
W0015,W0586,2026-01-28 15:45:58,5776.664696,0.237832,normal,1373.875122,new_counterparty,,
W0015,W0035,2026-02-18 03:20:36,176.24602,0.545468,monitor,96.136585,risky_address_exposure,high_wallet_velocity,new_counterparty
W0015,W0663,2026-02-20 09:49:34,10704.252932,0.392483,normal,4201.242073,risky_address_exposure,new_counterparty,imbalanced_flow
W0015,W0394,2026-03-10 05:10:39,599.574111,0.544269,monitor,326.329492,risky_address_exposure,new_counterparty,imbalanced_flow
W0016,W0720,2025-12-23 18:05:31,7437.784854,0.406957,monitor,3026.860676,high_wallet_velocity,new_counterparty,
W0016,W0177,2026-01-20 07:34:20,2423.824547,0.186947,normal,453.125716,new_counterparty,imbalanced_flow,
W0016,W0014,2026-01-30 03:06:37,413.770232,0.273507,normal,113.169202,high_wallet_velocity,new_counterparty,imbalanced_flow
