applicant_id,PD,risk_grade,decision,recommended_credit_limit,LGD,EAD,expected_loss,top_reason_1,top_reason_2,top_reason_3,model_used,loan_amount,annual_income,debt_to_income,credit_grade,loan_purpose,application_vintage,default_flag,interest_rate,expected_loss_rate,challenger_PD
APP-00001,0.14697357203751066,D,Decline,0.0,0.55,0.0,0.0,prior delinquency,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,14270.42,24929.06,0.3508,E,home_improvement,2022Q1,0,0.2864,0.0,0.12751187431494337
APP-00002,0.06364023870417732,C,Review,3600.0,0.55,16241.45,568.49,prior delinquency,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,16241.45,53965.07,0.2126,D,home_improvement,2022Q1,1,0.2188,0.03500241665614831,0.12751187431494337
APP-00003,0.06364023870417732,C,Review,1600.0,0.55,8975.64,314.17,prior delinquency,weak credit grade,high debt-to-income,champion_logistic_scorecard_calibrated,8975.64,31783.26,0.4518,C,major_purchase,2022Q1,1,0.1447,0.0350025179262983,0.014871649142748886
APP-00004,0.06364023870417732,C,Review,1500.0,0.55,16239.95,568.43,weak credit grade,high debt-to-income,high revolving utilization,champion_logistic_scorecard_calibrated,16239.95,36771.18,0.4938,C,debt_consolidation,2022Q1,0,0.1488,0.03500195505528034,0.014871649142748886
APP-00005,0.013871429190688804,A,Approve,11400.0,0.35,18995.21,92.22,modeled PD below approve cutoff,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,18995.21,68486.5,0.1373,B,debt_consolidation,2022Q1,0,0.1042,0.004854908158425203,0.014871649142748886
APP-00006,0.01411059176294206,A,Approve,9300.0,0.35,21819.92,107.76,modeled PD below approve cutoff,large loan amount,weak credit grade,champion_logistic_scorecard_calibrated,21819.92,68554.34,0.1907,A,small_business,2022Q1,0,0.0707,0.004938606557677572,0.014871649142748886
APP-00007,0.01411059176294206,A,Approve,2700.0,0.35,16970.93,83.81,modeled PD below approve cutoff,large loan amount,high revolving utilization,champion_logistic_scorecard_calibrated,16970.93,32469.2,0.2051,D,small_business,2022Q1,0,0.2181,0.004938444740506266,0.12751187431494337
APP-00008,0.06364023870417732,C,Review,14800.0,0.55,14255.38,498.97,weak credit grade,high revolving utilization,large loan amount,champion_logistic_scorecard_calibrated,14255.38,106480.68,0.2728,C,debt_consolidation,2022Q1,1,0.1483,0.03500222372185098,0.014871649142748886
APP-00009,0.013871429190688804,A,Approve,8900.0,0.35,7742.13,37.59,modeled PD below approve cutoff,high debt-to-income,weak credit grade,champion_logistic_scorecard_calibrated,7742.13,45321.71,0.2604,A,home_improvement,2022Q1,0,0.0855,0.00485525301176808,0.014871649142748886
APP-00010,0.14697357203751066,D,Decline,0.0,0.55,0.0,0.0,prior delinquency,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,4777.87,75532.77,0.1411,E,debt_consolidation,2022Q1,0,0.2798,0.0,0.12751187431494337
APP-00011,0.06364023870417732,C,Review,6600.0,0.55,7046.08,246.63,prior delinquency,high revolving utilization,high debt-to-income,champion_logistic_scorecard_calibrated,7046.08,55288.49,0.4089,A,debt_consolidation,2022Q1,0,0.0644,0.03500244107361824,0.014871649142748886
APP-00012,0.013871429190688804,A,Approve,9100.0,0.35,25654.21,124.55,modeled PD below approve cutoff,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,25654.21,70707.83,0.1243,B,major_purchase,2022Q1,0,0.1026,0.004854953631392275,0.014871649142748886
APP-00013,0.14697357203751066,D,Decline,0.0,0.55,0.0,0.0,prior delinquency,weak credit grade,high debt-to-income,champion_logistic_scorecard_calibrated,3560.45,49592.47,0.5236,C,medical,2022Q1,0,0.1438,0.0,0.014871649142748886
APP-00014,0.013871429190688804,A,Approve,9300.0,0.35,13764.06,66.82,modeled PD below approve cutoff,weak credit grade,large loan amount,champion_logistic_scorecard_calibrated,13764.06,53812.05,0.1752,B,small_business,2022Q1,0,0.1226,0.004854672240603426,0.014871649142748886
APP-00015,0.01411059176294206,A,Approve,8900.0,0.35,7749.51,38.27,modeled PD below approve cutoff,high revolving utilization,weak credit grade,champion_logistic_scorecard_calibrated,7749.51,57291.9,0.4861,B,major_purchase,2022Q1,0,0.0995,0.004938376748981549,0.014871649142748886
APP-00016,0.01411059176294206,A,Approve,13700.0,0.35,11941.58,58.98,modeled PD below approve cutoff,high revolving utilization,large loan amount,champion_logistic_scorecard_calibrated,11941.58,63194.0,0.0922,C,home_improvement,2022Q1,0,0.1535,0.0049390449170042825,0.014871649142748886
APP-00017,0.01411059176294206,A,Approve,10600.0,0.35,9187.4,45.37,modeled PD below approve cutoff,high revolving utilization,high debt-to-income,champion_logistic_scorecard_calibrated,9187.4,71280.68,0.3673,A,other,2022Q1,0,0.0749,0.0049382850425582865,0.014871649142748886
APP-00018,0.013871429190688804,A,Approve,4800.0,0.35,34199.04,166.04,modeled PD below approve cutoff,weak credit grade,high debt-to-income,champion_logistic_scorecard_calibrated,34199.04,57366.32,0.1662,B,debt_consolidation,2022Q1,0,0.1207,0.004855107043940415,0.014871649142748886
APP-00019,0.013871429190688804,A,Approve,4300.0,0.35,17568.98,85.3,modeled PD below approve cutoff,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,17568.98,43122.8,0.2363,B,debt_consolidation,2022Q1,0,0.1122,0.004855148107630608,0.014871649142748886
APP-00020,0.01411059176294206,A,Approve,10200.0,0.35,8908.63,44.0,modeled PD below approve cutoff,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,8908.63,79427.87,0.2155,B,home_improvement,2022Q1,0,0.1149,0.004939031029462443,0.014871649142748886
APP-00021,0.06364023870417732,C,Review,5700.0,0.55,11491.06,402.21,prior delinquency,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,11491.06,58560.48,0.2499,C,home_improvement,2022Q1,0,0.1461,0.035001992853574866,0.014871649142748886
APP-00022,0.013871429190688804,A,Approve,20400.0,0.35,17719.59,86.03,modeled PD below approve cutoff,large loan amount,weak credit grade,champion_logistic_scorecard_calibrated,17719.59,103034.62,0.1712,B,debt_consolidation,2022Q1,0,0.0941,0.004855078475292035,0.014871649142748886
APP-00023,0.14697357203751066,D,Decline,0.0,0.55,0.0,0.0,prior delinquency,large loan amount,weak credit grade,champion_logistic_scorecard_calibrated,37753.81,171161.38,0.346,D,debt_consolidation,2022Q1,0,0.211,0.0,0.12751187431494337
APP-00024,0.06364023870417732,C,Review,1500.0,0.55,27278.62,954.81,weak credit grade,large loan amount,high revolving utilization,champion_logistic_scorecard_calibrated,27278.62,38346.04,0.2352,D,debt_consolidation,2022Q1,0,0.1923,0.03500213720488793,0.07636828644501278
APP-00025,0.06364023870417732,C,Review,9400.0,0.55,10624.3,371.87,weak credit grade,high revolving utilization,high debt-to-income,champion_logistic_scorecard_calibrated,10624.3,81540.56,0.4138,D,major_purchase,2022Q1,0,0.2011,0.03500183541503911,0.07636828644501278
APP-00026,0.01411059176294206,A,Approve,12300.0,0.35,10677.88,52.73,modeled PD below approve cutoff,high debt-to-income,weak credit grade,champion_logistic_scorecard_calibrated,10677.88,201535.69,0.414,B,small_business,2022Q1,0,0.1068,0.0049382461687151385,0.014871649142748886
APP-00027,0.06364023870417732,C,Review,11100.0,0.55,9642.39,337.5,prior delinquency,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,9642.39,113171.43,0.2396,C,major_purchase,2022Q1,0,0.1383,0.03500169563769978,0.014871649142748886
APP-00028,0.06364023870417732,C,Review,1300.0,0.55,29615.85,1036.62,prior delinquency,large loan amount,high revolving utilization,champion_logistic_scorecard_calibrated,29615.85,32071.91,0.1237,A,debt_consolidation,2022Q1,0,0.0706,0.03500220321213134,0.014871649142748886
APP-00029,0.013871429190688804,A,Approve,3900.0,0.35,17666.19,85.77,modeled PD below approve cutoff,high revolving utilization,weak credit grade,champion_logistic_scorecard_calibrated,17666.19,37013.9,0.0544,A,major_purchase,2022Q1,0,0.0822,0.004855036654762572,0.014871649142748886
APP-00030,0.06364023870417732,C,Review,2900.0,0.55,9291.4,325.22,weak credit grade,high debt-to-income,high revolving utilization,champion_logistic_scorecard_calibrated,9291.4,47744.67,0.5345,C,debt_consolidation,2022Q1,0,0.1309,0.035002260154551525,0.014871649142748886
APP-00031,0.14697357203751066,D,Decline,0.0,0.55,0.0,0.0,prior delinquency,weak credit grade,large loan amount,champion_logistic_scorecard_calibrated,26671.48,27872.78,0.2111,D,medical,2022Q1,0,0.1641,0.0,0.07636828644501278
APP-00032,0.01411059176294206,A,Approve,3700.0,0.35,15087.19,74.51,modeled PD below approve cutoff,weak credit grade,large loan amount,champion_logistic_scorecard_calibrated,15087.19,38307.15,0.287,B,debt_consolidation,2022Q1,0,0.105,0.00493862674228932,0.014871649142748886
APP-00033,0.013871429190688804,A,Approve,2500.0,0.35,16194.59,78.62,modeled PD below approve cutoff,weak credit grade,large loan amount,champion_logistic_scorecard_calibrated,16194.59,30117.69,0.1906,B,debt_consolidation,2022Q1,0,0.1061,0.0048547076523703285,0.014871649142748886
APP-00034,0.013871429190688804,A,Approve,7700.0,0.35,6686.67,32.46,modeled PD below approve cutoff,high revolving utilization,weak credit grade,champion_logistic_scorecard_calibrated,6686.67,193874.42,0.4247,B,major_purchase,2022Q1,0,0.1069,0.004854434269972946,0.014871649142748886
APP-00035,0.013871429190688804,A,Approve,7400.0,0.35,14768.39,71.7,modeled PD below approve cutoff,large loan amount,high debt-to-income,champion_logistic_scorecard_calibrated,14768.39,47395.23,0.0854,B,debt_consolidation,2022Q1,0,0.0938,0.004854963878933317,0.014871649142748886
APP-00036,0.06364023870417732,C,Review,2100.0,0.55,22551.94,789.37,large loan amount,high debt-to-income,high revolving utilization,champion_logistic_scorecard_calibrated,22551.94,53252.58,0.5196,B,debt_consolidation,2022Q1,0,0.1028,0.03500231022253518,0.014871649142748886
APP-00037,0.01411059176294206,A,Approve,19500.0,0.35,22857.81,112.89,modeled PD below approve cutoff,weak credit grade,large loan amount,champion_logistic_scorecard_calibrated,22857.81,124229.64,0.4574,C,major_purchase,2022Q1,0,0.1521,0.0049387933489691265,0.014871649142748886
APP-00038,0.06364023870417732,C,Review,10300.0,0.55,8956.39,313.49,prior delinquency,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,8956.39,79013.8,0.0612,B,debt_consolidation,2022Q1,0,0.1136,0.03500182551228788,0.014871649142748886
APP-00039,0.06364023870417732,C,Review,4700.0,0.55,15093.39,528.3,weak credit grade,high revolving utilization,large loan amount,champion_logistic_scorecard_calibrated,15093.39,60898.75,0.2597,D,debt_consolidation,2022Q1,0,0.219,0.03500207706817355,0.12751187431494337
