transaction_id,account_id,transaction_time,amount,merchant_category,merchant_risk_band,location_proxy,device_proxy,account_age_days,transaction_count_24h,amount_count_24h,fraud_flag,chargeback_loss,velocity_1h,velocity_24h,merchant_risk_score,new_device_flag,new_location_flag,night_transaction_flag,high_amount_flag,account_tenure_band,amount_zscore_by_account
TXN-000001,ACCT-00724,2024-01-01 10:04:04,130.92,other,medium,home_region,known_device_b,1179,4,546.4,0,0.0,0,4,0.45,0,0,0,0,long_tenure,0.6119
TXN-000002,ACCT-00443,2024-01-01 04:46:38,225.02,grocery,low,adjacent_region,known_device_b,480,4,885.5,0,0.0,0,7,0.1,0,0,1,1,established,1.8093
TXN-000003,ACCT-00827,2024-01-01 03:01:51,38.07,grocery,low,home_region,known_device_a,1670,5,189.05,0,0.0,0,7,0.1,0,0,1,0,long_tenure,0.3386
TXN-000004,ACCT-00468,2024-01-01 05:33:46,45.91,digital_goods,high,home_region,known_device_a,616,7,381.11,0,0.0,1,8,0.82,0,0,0,0,established,0.3727
TXN-000005,ACCT-00352,2024-01-01 15:25:03,22.62,grocery,low,home_region,known_device_a,1340,3,61.29,0,0.0,0,5,0.1,0,0,0,0,long_tenure,-0.0553
TXN-000006,ACCT-00805,2024-01-01 17:58:12,92.26,fuel,low,adjacent_region,known_device_a,1247,5,548.73,0,0.0,1,5,0.1,0,0,0,0,long_tenure,0.9026
TXN-000007,ACCT-00099,2024-01-02 15:57:22,60.79,other,medium,home_region,known_device_a,946,3,139.29,0,0.0,0,5,0.45,0,0,0,0,long_tenure,-1.2736
TXN-000008,ACCT-00758,2024-01-02 10:15:10,52.2,electronics,medium,home_region,new_device,54,4,180.25,0,0.0,3,4,0.45,1,0,0,0,seasoning,1.0024
TXN-000009,ACCT-00503,2024-01-02 16:26:44,27.98,electronics,medium,home_region,known_device_a,1695,7,179.83,0,0.0,0,7,0.45,0,0,0,0,long_tenure,-0.6214
TXN-000010,ACCT-00793,2024-01-02 04:29:13,741.51,grocery,low,home_region,known_device_a,1381,3,1848.97,0,0.0,0,3,0.1,0,0,1,1,long_tenure,1.8501
TXN-000011,ACCT-00572,2024-01-02 10:12:36,27.92,electronics,medium,distant_region,known_device_a,1660,7,183.0,0,0.0,0,8,0.45,0,0,0,0,long_tenure,0.7877
TXN-000012,ACCT-00273,2024-01-02 12:46:45,63.37,restaurant,low,home_region,known_device_b,235,4,287.37,0,0.0,0,7,0.1,0,0,0,0,established,0.1264
TXN-000013,ACCT-00410,2024-01-02 21:53:49,417.99,digital_goods,high,adjacent_region,known_device_a,938,3,944.5,0,0.0,1,4,0.82,0,0,0,1,long_tenure,2.0082
TXN-000014,ACCT-00801,2024-01-02 02:28:52,6.82,travel,medium,home_region,known_device_b,1620,3,22.26,0,0.0,0,3,0.45,0,0,1,0,long_tenure,-1.7067
TXN-000015,ACCT-00539,2024-01-02 06:13:53,123.85,grocery,low,cross_border,known_device_b,504,1,125.87,0,0.0,0,2,0.1,0,0,0,0,established,1.1355
TXN-000016,ACCT-00658,2024-01-02 04:29:05,33.64,other,medium,home_region,known_device_b,1606,1,36.34,0,0.0,1,4,0.45,0,0,1,0,long_tenure,-1.1185
TXN-000017,ACCT-00176,2024-01-02 08:56:52,98.98,fuel,low,home_region,known_device_a,1511,2,244.15,0,0.0,1,3,0.1,0,0,0,0,long_tenure,0.7358
TXN-000018,ACCT-00024,2024-01-02 01:21:05,163.27,electronics,medium,home_region,known_device_a,623,4,633.49,0,0.0,0,4,0.45,0,0,1,1,established,-0.0645
TXN-000019,ACCT-00116,2024-01-02 15:12:59,63.75,fuel,low,home_region,known_device_b,1684,2,153.92,0,0.0,1,2,0.1,0,0,0,0,long_tenure,0.5363
TXN-000020,ACCT-00040,2024-01-03 13:15:15,91.64,fuel,low,home_region,known_device_a,271,2,143.65,0,0.0,1,3,0.1,0,0,0,0,established,0.0458
TXN-000021,ACCT-00310,2024-01-03 13:49:12,9.22,other,medium,distant_region,known_device_a,1744,1,10.58,0,0.0,0,3,0.45,0,0,0,0,long_tenure,-1.2328
TXN-000022,ACCT-00654,2024-01-03 03:30:19,33.36,grocery,low,distant_region,known_device_b,1057,1,33.13,0,0.0,0,3,0.1,0,0,1,0,long_tenure,-0.9814
TXN-000023,ACCT-00671,2024-01-03 16:32:58,80.61,digital_goods,high,home_region,known_device_a,686,5,345.72,0,0.0,1,7,0.82,0,0,0,0,established,-0.1539
TXN-000024,ACCT-00335,2024-01-03 12:10:56,59.67,grocery,low,home_region,known_device_b,572,2,125.16,0,0.0,0,3,0.1,0,0,0,0,established,-0.2179
TXN-000025,ACCT-00401,2024-01-03 03:34:19,158.17,electronics,medium,home_region,known_device_a,536,2,388.78,0,0.0,0,3,0.45,0,0,1,1,established,-0.1052
TXN-000026,ACCT-00855,2024-01-03 15:51:33,21.47,electronics,medium,home_region,known_device_b,158,3,75.01,0,0.0,0,3,0.45,0,0,0,0,seasoning,-0.7609
TXN-000027,ACCT-00884,2024-01-03 06:29:56,17.79,grocery,low,distant_region,known_device_b,417,4,60.1,0,0.0,0,4,0.1,0,0,0,0,established,-1.0847
TXN-000028,ACCT-00060,2024-01-03 04:10:05,556.49,other,medium,adjacent_region,new_device,1013,6,3782.08,0,0.0,0,7,0.45,1,0,1,1,long_tenure,1.6325
TXN-000029,ACCT-00467,2024-01-03 08:08:48,10.93,travel,medium,home_region,known_device_b,632,2,16.75,0,0.0,0,4,0.45,0,0,0,0,established,-2.0009
TXN-000030,ACCT-00088,2024-01-03 20:14:13,34.81,electronics,medium,adjacent_region,known_device_b,1467,2,70.14,0,0.0,1,3,0.45,0,0,0,0,long_tenure,-0.3711
TXN-000031,ACCT-00162,2024-01-03 05:11:00,10.32,restaurant,low,cross_border,known_device_b,1613,1,7.8,0,0.0,0,2,0.1,0,0,0,0,long_tenure,-1.1589
TXN-000032,ACCT-00014,2024-01-04 19:33:44,120.58,travel,medium,home_region,known_device_a,477,3,273.29,0,0.0,1,10,0.45,0,0,0,0,established,0.6682
TXN-000033,ACCT-00934,2024-01-04 00:27:44,20.85,digital_goods,high,adjacent_region,known_device_a,283,6,132.22,0,0.0,1,9,0.82,0,0,1,0,established,-1.3478
TXN-000034,ACCT-00585,2024-01-04 19:40:51,56.68,digital_goods,high,home_region,known_device_a,482,3,144.01,0,0.0,1,4,0.82,0,0,0,0,established,0.1949
TXN-000035,ACCT-00894,2024-01-04 02:38:28,32.59,electronics,medium,home_region,known_device_b,123,2,61.0,0,0.0,0,2,0.45,0,1,1,0,seasoning,-0.1946
TXN-000036,ACCT-00102,2024-01-04 10:31:51,18.21,grocery,low,distant_region,known_device_b,1348,4,78.31,0,0.0,1,5,0.1,0,0,0,0,long_tenure,-0.1961
TXN-000037,ACCT-00748,2024-01-04 15:24:53,41.37,fuel,low,adjacent_region,known_device_a,77,6,306.38,0,0.0,1,7,0.1,0,0,0,0,seasoning,-0.0529
TXN-000038,ACCT-00214,2024-01-04 03:53:01,37.25,restaurant,low,home_region,known_device_b,215,1,29.97,0,0.0,1,2,0.1,0,0,1,0,established,-1.959
TXN-000039,ACCT-00199,2024-01-04 03:11:14,16.34,digital_goods,high,home_region,known_device_a,1251,7,91.17,0,0.0,0,9,0.82,0,0,1,0,long_tenure,-1.5387
TXN-000040,ACCT-00323,2024-01-04 05:12:51,99.7,other,medium,distant_region,new_device,1790,7,843.77,0,0.0,2,8,0.45,1,0,0,0,long_tenure,-0.1864
TXN-000041,ACCT-00589,2024-01-04 06:56:36,14.26,digital_goods,high,home_region,known_device_b,1843,8,95.38,0,0.0,0,9,0.82,0,0,0,0,long_tenure,-0.8207
TXN-000042,ACCT-00092,2024-01-04 15:53:29,53.16,electronics,medium,home_region,known_device_a,447,1,63.32,0,0.0,0,2,0.45,0,0,0,0,established,-0.3579
TXN-000043,ACCT-00104,2024-01-04 16:21:41,27.45,grocery,low,home_region,known_device_b,1254,2,46.25,0,0.0,0,2,0.1,0,0,0,0,long_tenure,-0.6136
TXN-000044,ACCT-00547,2024-01-05 16:54:01,106.37,cash_like,high,home_region,known_device_a,818,4,323.02,0,0.0,0,5,0.82,0,0,0,0,long_tenure,1.1113
TXN-000045,ACCT-00899,2024-01-05 14:20:00,286.2,restaurant,low,adjacent_region,known_device_b,1598,3,674.75,0,0.0,0,3,0.1,0,0,0,1,long_tenure,1.9692
TXN-000046,ACCT-00435,2024-01-05 22:08:09,46.93,fuel,low,adjacent_region,known_device_b,422,1,37.81,0,0.0,0,1,0.1,0,0,0,0,established,-0.6035
