applicant_id,application_date,loan_amount,annual_income,debt_to_income,employment_length,credit_grade,interest_rate,loan_purpose,home_ownership,delinquency_history,revolving_utilization,open_accounts,default_flag,loss_amount_if_default,income_to_loan_ratio,debt_burden_score,credit_utilization_band,loan_size_band,credit_grade_numeric,prior_delinquency_flag,application_vintage
APP-00001,2022-01-01,14270.42,24929.06,0.3508,3,E,0.2864,home_improvement,rent,2,0.5953,8,0,0.0,1.7469,0.474,elevated,moderate,5,1,2022Q1
APP-00002,2022-01-01,16241.45,53965.07,0.2126,3,D,0.2188,home_improvement,rent,1,0.4141,18,1,10262.1,3.3227,0.2958,moderate,large,4,1,2022Q1
APP-00003,2022-01-01,8975.64,31783.26,0.4518,3,C,0.1447,major_purchase,mortgage,2,0.4426,16,1,6716.56,3.5411,0.4837,moderate,moderate,3,1,2022Q1
APP-00004,2022-01-01,16239.95,36771.18,0.4938,3,C,0.1488,debt_consolidation,rent,0,0.4705,14,0,0.0,2.2642,0.437,moderate,large,3,0,2022Q1
APP-00005,2022-01-02,18995.21,68486.5,0.1373,5,B,0.1042,debt_consolidation,rent,0,0.1703,10,0,0.0,3.6055,0.1341,low,large,2,0,2022Q1
APP-00006,2022-01-03,21819.92,68554.34,0.1907,6,A,0.0707,small_business,mortgage,1,0.0371,8,0,0.0,3.1418,0.1625,low,large,1,1,2022Q1
APP-00007,2022-01-04,16970.93,32469.2,0.2051,7,D,0.2181,small_business,mortgage,0,0.2274,10,0,0.0,1.9132,0.1917,low,large,4,0,2022Q1
APP-00008,2022-01-04,14255.38,106480.68,0.2728,3,C,0.1483,debt_consolidation,mortgage,0,0.4146,11,1,6757.02,7.4695,0.2909,moderate,moderate,3,0,2022Q1
APP-00009,2022-01-05,7742.13,45321.71,0.2604,16,A,0.0855,home_improvement,rent,0,0.4273,5,0,0.0,5.8539,0.2878,moderate,moderate,1,0,2022Q1
APP-00010,2022-01-05,4777.87,75532.77,0.1411,0,E,0.2798,debt_consolidation,mortgage,1,0.5584,10,0,0.0,15.8089,0.3006,elevated,small,5,1,2022Q1
APP-00011,2022-01-05,7046.08,55288.49,0.4089,9,A,0.0644,debt_consolidation,rent,4,0.6712,8,0,0.0,7.8467,0.6119,elevated,small,1,1,2022Q1
APP-00012,2022-01-05,25654.21,70707.83,0.1243,7,B,0.1026,major_purchase,mortgage,0,0.2187,14,0,0.0,2.7562,0.1421,low,very_large,2,0,2022Q1
APP-00013,2022-01-06,3560.45,49592.47,0.5236,4,C,0.1438,medical,rent,1,0.4821,10,0,0.0,13.9287,0.498,moderate,small,3,1,2022Q1
APP-00014,2022-01-06,13764.06,53812.05,0.1752,11,B,0.1226,small_business,rent,2,0.2961,10,0,0.0,3.9096,0.2764,low,moderate,2,1,2022Q1
APP-00015,2022-01-07,7749.51,57291.9,0.4861,1,B,0.0995,major_purchase,own,0,0.448,8,0,0.0,7.393,0.4253,moderate,moderate,2,0,2022Q1
APP-00016,2022-01-08,11941.58,63194.0,0.0922,7,C,0.1535,home_improvement,rent,0,0.5272,13,0,0.0,5.2919,0.2222,moderate,moderate,3,0,2022Q1
APP-00017,2022-01-08,9187.4,71280.68,0.3673,13,A,0.0749,other,mortgage,1,0.369,13,0,0.0,7.7585,0.3711,moderate,moderate,1,1,2022Q1
APP-00018,2022-01-08,34199.04,57366.32,0.1662,9,B,0.1207,debt_consolidation,mortgage,0,0.1494,7,0,0.0,1.6774,0.1442,low,very_large,2,0,2022Q1
APP-00019,2022-01-09,17568.98,43122.8,0.2363,12,B,0.1122,debt_consolidation,mortgage,0,0.3899,10,0,0.0,2.4545,0.2618,moderate,large,2,0,2022Q1
APP-00020,2022-01-09,8908.63,79427.87,0.2155,5,B,0.1149,home_improvement,mortgage,2,0.3792,9,0,0.0,8.9158,0.3263,moderate,moderate,2,1,2022Q1
APP-00021,2022-01-10,11491.06,58560.48,0.2499,1,C,0.1461,home_improvement,mortgage,1,0.3331,9,0,0.0,5.0962,0.2915,moderate,moderate,3,1,2022Q1
APP-00022,2022-01-10,17719.59,103034.62,0.1712,12,B,0.0941,debt_consolidation,rent,1,0.1414,6,0,0.0,5.8147,0.1846,low,large,2,1,2022Q1
APP-00023,2022-01-11,37753.81,171161.38,0.346,1,D,0.211,debt_consolidation,own,2,0.1939,7,0,0.0,4.5336,0.3427,low,very_large,4,1,2022Q1
APP-00024,2022-01-11,27278.62,38346.04,0.2352,7,D,0.1923,debt_consolidation,mortgage,0,0.261,11,0,0.0,1.4057,0.2199,low,very_large,4,0,2022Q1
APP-00025,2022-01-11,10624.3,81540.56,0.4138,7,D,0.2011,major_purchase,own,0,0.4276,13,0,0.0,7.6749,0.3768,moderate,moderate,4,0,2022Q1
APP-00026,2022-01-12,10677.88,201535.69,0.414,8,B,0.1068,small_business,mortgage,0,0.5941,10,0,0.0,18.8741,0.4302,elevated,moderate,2,0,2022Q1
APP-00027,2022-01-12,9642.39,113171.43,0.2396,7,C,0.1383,major_purchase,mortgage,2,0.3419,8,0,0.0,11.7369,0.3284,moderate,moderate,3,1,2022Q1
APP-00028,2022-01-13,29615.85,32071.91,0.1237,6,A,0.0706,debt_consolidation,rent,1,0.284,10,0,0.0,1.0829,0.2026,low,very_large,1,1,2022Q1
APP-00029,2022-01-14,17666.19,37013.9,0.0544,6,A,0.0822,major_purchase,mortgage,0,0.3624,8,0,0.0,2.0952,0.1476,moderate,large,1,0,2022Q1
APP-00030,2022-01-15,9291.4,47744.67,0.5345,11,C,0.1309,debt_consolidation,mortgage,0,0.3194,13,0,0.0,5.1386,0.4122,moderate,moderate,3,0,2022Q1
APP-00031,2022-01-16,26671.48,27872.78,0.2111,4,D,0.1641,medical,rent,1,0.3301,12,0,0.0,1.045,0.2681,moderate,very_large,4,1,2022Q1
APP-00032,2022-01-16,15087.19,38307.15,0.287,7,B,0.105,debt_consolidation,rent,2,0.181,4,0,0.0,2.5391,0.3044,low,large,2,1,2022Q1
APP-00033,2022-01-17,16194.59,30117.69,0.1906,6,B,0.1061,debt_consolidation,own,0,0.493,11,0,0.0,1.8597,0.2683,moderate,large,2,0,2022Q1
APP-00034,2022-01-17,6686.67,193874.42,0.4247,9,B,0.1069,major_purchase,mortgage,0,0.4013,8,0,0.0,28.9942,0.3747,moderate,small,2,0,2022Q1
APP-00035,2022-01-18,14768.39,47395.23,0.0854,10,B,0.0938,debt_consolidation,mortgage,0,0.0792,8,0,0.0,3.2092,0.0749,low,moderate,2,0,2022Q1
APP-00036,2022-01-18,22551.94,53252.58,0.5196,8,B,0.1028,debt_consolidation,rent,0,0.4487,13,0,0.0,2.3613,0.445,moderate,large,2,0,2022Q1
APP-00037,2022-01-19,22857.81,124229.64,0.4574,8,C,0.1521,major_purchase,rent,0,0.6186,13,0,0.0,5.4349,0.4632,elevated,large,3,0,2022Q1
APP-00038,2022-01-19,8956.39,79013.8,0.0612,0,B,0.1136,debt_consolidation,rent,2,0.2811,9,0,0.0,8.8221,0.2055,low,moderate,2,1,2022Q1
APP-00039,2022-01-19,15093.39,60898.75,0.2597,1,D,0.219,debt_consolidation,rent,0,0.3673,14,0,0.0,4.0348,0.2682,moderate,large,4,0,2022Q1
APP-00040,2022-01-19,17171.95,24217.62,0.0989,4,B,0.1152,medical,mortgage,0,0.353,9,0,0.0,1.4103,0.1703,moderate,large,2,0,2022Q1
APP-00041,2022-01-20,28699.53,62416.89,0.2426,7,A,0.0474,debt_consolidation,mortgage,0,0.3461,10,0,0.0,2.1748,0.2515,moderate,very_large,1,0,2022Q1
APP-00042,2022-01-21,10640.25,60510.49,0.3965,9,D,0.1864,debt_consolidation,mortgage,1,0.2579,12,0,0.0,5.6869,0.3525,low,moderate,4,1,2022Q1
APP-00043,2022-01-22,29820.41,51903.96,0.3159,0,D,0.187,other,mortgage,2,0.3593,11,1,16440.85,1.7406,0.3782,moderate,very_large,4,1,2022Q1
APP-00044,2022-01-22,15158.54,49434.78,0.2547,1,B,0.0875,medical,own,0,0.3213,16,0,0.0,3.2612,0.2505,moderate,large,2,0,2022Q1
APP-00045,2022-01-23,26456.31,72569.49,0.3818,7,C,0.148,debt_consolidation,mortgage,1,0.3938,15,0,0.0,2.743,0.3875,moderate,very_large,3,1,2022Q1
APP-00046,2022-01-24,20440.31,67876.25,0.2551,14,D,0.2091,debt_consolidation,rent,1,0.4037,9,1,13114.2,3.3207,0.3171,moderate,large,4,1,2022Q1
APP-00047,2022-01-24,14897.21,60975.31,0.5518,9,D,0.2042,medical,mortgage,0,0.5473,12,0,0.0,4.0931,0.4952,moderate,moderate,4,0,2022Q1
APP-00048,2022-01-24,10356.21,55098.09,0.58,6,B,0.092,other,mortgage,1,0.2644,9,0,0.0,5.3203,0.461,low,moderate,2,1,2022Q1
APP-00049,2022-01-25,7261.06,65759.18,0.4346,6,B,0.1323,home_improvement,own,0,0.3023,7,0,0.0,9.0564,0.3488,moderate,small,2,0,2022Q1
APP-00050,2022-01-26,33509.67,32931.6,0.58,17,C,0.1663,debt_consolidation,rent,2,0.3643,8,0,0.0,0.9827,0.533,moderate,very_large,3,1,2022Q1
APP-00051,2022-01-26,17204.78,78291.91,0.0739,14,C,0.1448,debt_consolidation,rent,0,0.5015,9,0,0.0,4.5506,0.2033,moderate,large,3,0,2022Q1
APP-00052,2022-01-27,5030.04,109718.93,0.2396,3,C,0.1335,debt_consolidation,mortgage,1,0.4919,15,0,0.0,21.8128,0.3364,moderate,small,3,1,2022Q1
APP-00053,2022-01-28,18814.51,40939.8,0.1641,6,E,0.2544,medical,own,0,0.346,13,0,0.0,2.176,0.2059,moderate,large,5,0,2022Q1
APP-00054,2022-01-28,16941.72,41690.08,0.3655,12,A,0.0636,other,own,1,0.1375,3,0,0.0,2.4608,0.296,low,large,1,1,2022Q1
APP-00055,2022-01-29,18843.03,41377.91,0.476,8,C,0.1398,medical,mortgage,1,0.4473,9,0,0.0,2.1959,0.4592,moderate,large,3,1,2022Q1
APP-00056,2022-01-29,31704.75,31435.7,0.4354,1,D,0.2056,other,mortgage,1,0.4208,10,1,22474.48,0.9915,0.4272,moderate,very_large,4,1,2022Q1
APP-00057,2022-01-30,11362.54,41873.76,0.247,8,D,0.2077,debt_consolidation,rent,0,0.2175,7,0,0.0,3.6852,0.2128,low,moderate,4,0,2022Q1
APP-00058,2022-01-30,20088.07,30616.9,0.2359,12,B,0.1005,medical,rent,0,0.079,9,0,0.0,1.5241,0.1621,low,large,2,0,2022Q1
APP-00059,2022-01-31,10431.41,87684.4,0.2247,3,C,0.1427,major_purchase,mortgage,0,0.3098,11,0,0.0,8.4058,0.2295,moderate,moderate,3,0,2022Q1
APP-00060,2022-01-31,42000.0,152250.4,0.3844,10,C,0.1353,debt_consolidation,rent,0,0.3903,14,0,0.0,3.625,0.3478,moderate,very_large,3,0,2022Q1
APP-00061,2022-01-31,15088.45,43890.96,0.2207,3,B,0.1196,other,mortgage,0,0.6048,13,0,0.0,2.9089,0.3215,elevated,large,2,0,2022Q1
APP-00062,2022-02-02,42000.0,26168.66,0.3612,8,B,0.0979,debt_consolidation,own,2,0.6151,12,0,0.0,0.6231,0.4863,elevated,very_large,2,1,2022Q1
APP-00063,2022-02-02,9303.11,42885.52,0.3489,10,A,0.0629,medical,own,0,0.5761,6,0,0.0,4.6098,0.3867,elevated,moderate,1,0,2022Q1
APP-00064,2022-02-03,31915.16,92960.59,0.1531,11,A,0.0702,home_improvement,mortgage,0,0.1301,6,0,0.0,2.9127,0.1304,low,very_large,1,0,2022Q1
APP-00065,2022-02-04,13282.7,85470.8,0.3498,8,B,0.1008,debt_consolidation,mortgage,0,0.3954,9,0,0.0,6.4347,0.3294,moderate,moderate,2,0,2022Q1
APP-00066,2022-02-05,29651.35,35264.33,0.4077,9,B,0.1059,major_purchase,own,1,0.2499,10,0,0.0,1.1893,0.3564,low,very_large,2,1,2022Q1
APP-00067,2022-02-05,12211.91,87002.81,0.3145,4,B,0.1045,debt_consolidation,mortgage,0,0.3033,4,0,0.0,7.1244,0.2795,moderate,moderate,2,0,2022Q1
APP-00068,2022-02-06,24237.29,59161.16,0.4848,1,B,0.1132,home_improvement,rent,0,0.1783,9,0,0.0,2.4409,0.3382,low,large,2,0,2022Q1
APP-00069,2022-02-06,18177.16,73254.18,0.0364,4,A,0.0852,home_improvement,mortgage,0,0.227,10,0,0.0,4.03,0.0937,low,large,1,0,2022Q1
APP-00070,2022-02-06,10817.07,64453.16,0.0789,5,A,0.0866,small_business,mortgage,0,0.17,9,0,0.0,5.9585,0.1002,low,moderate,1,0,2022Q1
APP-00071,2022-02-08,17308.63,109918.21,0.4456,8,C,0.1541,medical,rent,1,0.4982,7,0,0.0,6.3505,0.4579,moderate,large,3,1,2022Q1
