wallet_id,counterparty_wallet_id,transaction_time,token_type,amount_usd,wallet_age_days,inflow_24h,outflow_24h,transaction_count_24h,counterparty_risk_score,risky_address_exposure_flag,stablecoin_risk_label,is_synthetic
W0323,W0596,2026-03-17T03:11:30,BUSD,3384.75245,1378,538.119727,141.126437,10,0.230342,0,0,True
W0790,W0538,2026-01-02T09:11:22,USDT,3922.878975,1370,2336.825871,213.247876,5,0.103391,0,0,True
W0635,W0578,2026-02-09T06:49:49,USDT,9.44608,322,206.67773,602.745268,28,0.113927,0,0,True
W0391,W0085,2025-12-29T04:06:30,USDT,52.053843,1365,369.217635,112.44423,24,0.572435,1,1,True
W0100,W0491,2026-01-13T08:16:22,USDT,68.142551,722,431.831559,122.991126,21,0.096067,1,0,True
W0211,W0652,2026-01-02T08:06:54,DAI,7222.382981,598,206.438434,201.571248,11,0.239101,1,0,True
W0456,W0734,2026-02-21T17:39:42,DAI,430.604216,1278,436.291822,380.004296,7,0.254674,0,0,True
W0617,W0767,2026-03-15T10:50:13,USDT,99.599332,943,136.134148,756.97475,1,0.10226,0,0,True
W0652,W0513,2026-01-24T15:34:30,DAI,336.871213,729,228.125667,20.134201,23,0.093464,0,0,True
W0660,W0348,2026-03-11T02:08:15,USDT,382.204117,540,6.870191,1566.676238,19,0.087605,0,0,True
W0406,W0507,2026-02-14T23:45:16,USDT,585.232565,1451,431.054026,12.827304,12,0.36422,0,0,True
W0485,W0371,2026-02-14T02:21:46,USDT,101.701122,1428,71.984213,22.00903,29,0.126315,0,0,True
W0696,W0425,2026-01-01T09:24:27,USDT,1819.021786,885,37.259783,264.458887,27,0.108457,0,0,True
W0289,W0391,2026-01-05T11:53:50,BUSD,34.739145,159,63.387169,96.556881,18,0.215031,0,0,True
W0046,W0680,2026-01-16T04:36:10,USDT,184.477373,588,53.522067,1742.135121,25,0.145595,0,0,True
W0440,W0403,2026-03-03T22:29:50,USDC,113.349261,213,10.228745,79.841185,28,0.848163,0,1,True
W0054,W0519,2026-02-18T20:59:18,USDT,691.217189,1344,150.045017,12.329855,22,0.168482,0,0,True
W0633,W0390,2026-02-13T13:54:33,USDT,94.054564,681,77.864387,434.825472,5,0.082684,0,0,True
W0777,W0056,2026-02-18T01:25:46,BUSD,523.201495,751,81.723273,14.617435,17,0.14707,0,0,True
W0265,W0522,2026-01-20T07:30:51,USDC,2438.265383,697,898.946858,33.11554,5,0.328347,0,0,True
W0327,W0471,2026-01-04T05:39:50,USDT,823.605383,1065,42.844091,45.497583,8,0.067068,0,0,True
W0698,W0031,2025-12-23T18:51:27,USDT,2993.297221,1247,185.190333,160.730463,27,0.078729,0,0,True
W0439,W0689,2026-01-01T11:53:53,USDC,98.025113,748,633.899332,43.381398,4,0.275067,0,0,True
W0093,W0339,2026-01-10T16:04:41,USDT,28.342287,1448,3001.156626,24.890739,21,0.224791,0,0,True
W0352,W0238,2026-03-01T18:02:42,USDT,13715.541704,967,288.908704,190.90265,9,0.107044,0,0,True
W0077,W0199,2026-01-30T12:47:47,DAI,239.864398,1388,502.402593,35.257621,18,0.055914,1,0,True
W0489,W0727,2025-12-28T09:07:41,USDC,102.782585,106,418.808366,119.272111,26,0.307983,0,0,True
